Sex,Length,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,105.5,-0.3521,16.7826,0.08481,14.23345,14.6459,15.08472,15.85853,16.7826,17.78099,18.74947,19.36341,19.99014
1,106,-0.3521,16.9401,0.0851,14.35916,14.77663,15.22084,16.00429,16.9401,17.95145,18.93274,19.55494,20.19019
1,106.5,-0.3521,17.0995,0.08539,14.48635,14.90889,15.35856,16.15179,17.0995,18.12398,19.11828,19.74885,20.39275
1,107,-0.3521,17.2607,0.08568,14.61492,15.0426,15.4978,16.30093,17.2607,18.29849,19.30597,19.94503,20.5977
1,107.5,-0.3521,17.4237,0.08599,14.74431,15.17728,15.63817,16.45149,17.4237,18.47523,19.49634,20.14419,20.80594
1,108,-0.3521,17.5885,0.08629,14.87535,15.31363,15.78024,16.60381,17.5885,18.65383,19.68862,20.34528,21.01615
1,108.5,-0.3521,17.7553,0.0866,15.00765,15.45136,15.92381,16.75783,17.7553,18.83476,19.88356,20.54925,21.22947
1,109,-0.3521,17.9242,0.08691,15.14156,15.59077,16.06914,16.91378,17.9242,19.01798,20.081,20.75587,21.44557
1,109.5,-0.3521,18.0954,0.08723,15.27697,15.7318,16.21622,17.07172,18.0954,19.20386,20.28146,20.96574,21.66518
1,110,-0.3521,18.2689,0.08755,15.41415,15.87468,16.36525,17.23176,18.2689,19.39227,20.48466,21.1785,21.88782
2,45,-0.3833,2.4607,0.09029,2.066469,2.129751,2.197295,2.316937,2.4607,2.617102,2.769874,2.867253,2.967084
2,45.5,-0.3833,2.5457,0.09033,2.137691,2.203182,2.273085,2.396908,2.5457,2.707579,2.865707,2.966503,3.06984
2,46,-0.3833,2.6306,0.09037,2.208818,2.276517,2.348778,2.47678,2.6306,2.797955,2.961438,3.065651,3.172493
2,46.5,-0.3833,2.7155,0.0904,2.279978,2.34988,2.424493,2.556665,2.7155,2.888316,3.057139,3.164758,3.275093
2,47,-0.3833,2.8007,0.09044,2.351337,2.423458,2.50044,2.636812,2.8007,2.979021,3.153227,3.264281,3.378141
2,47.5,-0.3833,2.8867,0.09048,2.423357,2.497718,2.577093,2.717708,2.8867,3.070581,3.250226,3.364751,3.482171
2,48,-0.3833,2.9741,0.09052,2.496542,2.573181,2.654989,2.799918,2.9741,3.163636,3.348812,3.466867,3.587909
2,48.5,-0.3833,3.0636,0.09056,2.571479,2.650451,2.734752,2.8841,3.0636,3.25893,3.449774,3.571445,3.696198
2,49,-0.3833,3.156,0.0906,2.648838,2.730221,2.817095,2.971008,3.156,3.357314,3.554011,3.679418,3.808005
